Bio,Grades
"Tall, right-footed, 3-by-2 kicker with NFL starter-caliber leg strength and kickoff potential.",5.60
NA,NA
"Highly competitive, high-motor, hard-nosed pass rusher who wins with leverage and effort. Has 'tweener traits, but shows a knack to disrupt the backfield, and intensity and relentlessness give him a chance to carve a niche as situational, stand-up rush linebacker. Will make it difficult for coaches to cut him given his desirable makeup and passion for the game. Best tape is from 2012, as injury derailed his 2013 campaign and cost him a combine invitation.",5.60
NA,NA
"College left tackle with enough length and foot quickness to handle the blind side in a pinch, but is more ideally suited for the right side and could be best suited for a swing backup role. Has played nearly every position on the line and could add depth as a positional, wall-off blocker.",5.60
"Long, lean, non-physical zone corner who could compete for a job as a No. 5 corner, though his deficiency against the run could always be limiting.",5.60
"Stoutly built, NFL-strong interior defender who was a literal and figurative anchor for the Red Wolves despite playing for four different head coaches. Could make a living occupying blocks and clogging run lanes as a two-down, rotational nose tackle in an odd front.",5.60
"A creative return man and crafty slot receiver with production that far exceeds his measurables, Chancellor has overcome the odds throughout his career and could carve a niche returning punts and beating zones from the slot. Has the makeup to earn a job and exceed expectations. Impressive pro day showing could allow to be drafted late. A make-it player.",5.60
NA,NA
Split time as a senior and did not look as powerful as he did as a junior in an isolation-lead blocking role. Could benefit from shedding some weight.,5.60
"Followed up a solid NFLPA Collegiate All-Star game performance with an outstanding pro-day workout. Has the physical traits to excel in special teams coverage and could emerge as a solid role player in time. Possesses the personal and football character to carry him to a steady NFL career. Could warrant consideration as a fullback conversion, possessing the urgency, toughness and enough thump desired at the position.",5.60
NA,NA
"Top-heavy, quick, developmental three-technique with the motor worth pairing with a patient, veteran defensive line coach. Is still very raw and finding his way and has a personality that will add life to a defensive line romper room.",5.60
"A true tweener, Darby is built like a cornerback but lacks the foot speed to match up 1-on-1 with receivers and does not have ideal  bulk for the safety position. Has overcome a lot of adversity in his life, was recognized as the first player to don Pat Tillman's jersey in practice for his hard work and leadership and has make-it intangibles that could resonate with a coaching staff and inspire a locker room. Is worth trying as a zone corner, could add depth to a secondary and compete on special teams.",5.60
"Big, athletic, Division II standout and JUCO product whose size, length and physicality will appeal to teams in search of a developmental press corner. Could also be viewed as a potential safety conversion, but does not exhibit requisite instincts and dependability as a tackler.",5.60
"German-born, high-motor, effort-based pass rusher who could warrant developmental consideration as a situational 4-3 rush end or stand-up 3-4 linebacker. Is not a natural, physically gifted hunter, but football smarts, competitiveness and effort give him a chance.",5.60
"A strong, tenacious, tightly wound leverage-power rusher most ideally suited for a 3-4 outside linebacker role. Will require patience to develop. Has a high-collision special-teams temperament to contribute in coverage if he can learn to unlock his hips. Best chance will come in Blitzburgh.",5.60
"Burst onto the scene as a junior-college transfer in 2012 when he led the nation in completion percentage (72.5), executing a quarterback-friendly system and putting himself on the NFL radar. Concerns about his height and arm strength will limit his appeal, but at worst should be a quality backup in a precision-matchup system.",5.60
"A competitive, inside power runner with a hard, upright running style that could lend itself to injuries in the pros. Could carve a role as a solid backup and function well between the tackles in a rotation.",5.60
"A lean, speedy, finesse slot receiver, Franklin missed the first four games of the season (academics), but pulled in 44 catches and scored 6 TDs in the final five games of the season, showing speed, quickness and some playmaking ability. Is raw, but has developmental value.",5.60
"Gaffney, who doubles as a baseball player, rejoined the Cardinal football team after a one-year stint in Class A. Did not skip a beat, shouldering the load as a feature back and putting himself back on the NFL radar by showing inside running skills as a big, athletic, downhill back willing to grind out the tough yards. Has the determination and competitiveness to earn a backup role for a power-running team.",5.60
"Good-sized, experienced defensive tackle with a nice combination of strength and athleticism to contribute as a rotational player in a 4-3 or perhaps appeal to teams as a five-technique. Did not leave his stamp on enough games, however, and needs to ratchet up with intensity on a snap-to-snap basis in order to maximize his potential.",5.60
"Undersized, run-and-hit linebacker most ideally suited for a special-teams role. Lack of size will relegate him to a fast-flowing 4-3 under front, where he could be best on the weak side where action is funneled to him and he has a clean path to the ball.",5.60
"Productive, monotone, unrefined, enigmatic mid-major receiver with one of the best pair of hands in the draft, though he comes with concerning tweener traits he will have to overcome. Lacks ideal speed and physicality to survive outside and lacks ideal suddenness and toughness to thrive inside. Workout numbers will be critical.",5.60
"Fluid perimeter runner/receiver with playmaking ability, though his game is rough around the edges, requiring more polish and attention to detail. Profiles as a third-down/change-of-pace back, but his football intelligence has to catch up with his physical gifts in order to earn trust he can handle the role.",5.60
"Big-framed, underpowered, underachieving tight end who did not live up to expectations at USC and made a curious decision to forgo his final season of eligibility despite producing a modest 25-271-2 (10.8) during an injury-affected 2013 campaign. Has size, athleticism and hands to warrant developmental consideration if he tests well.",5.60
"Highly productive, active, developmental three-technique with enough quickness to disrupt shooting gaps. Could also receive interest as a right defensive end in an odd front. Compares favorably to former seventh-rounders Jared Smith (Seattle, 2013) and Sean Lissemore (Dallas, 2010).",5.60
"Long-limbed, thin-bodied, developmental right tackle only. Lacks the agility for the left side and the core, anchor strength desired to kick inside. Has physical traits for a patient OL coach to develop. Long-term project with limited versatility that could make it difficult to readily earn a roster spot.",5.60
"A smooth, fluid, athletic small-school receiver with the hands, body control and concentration to earn a roster spot and develop into a solid contributor.",5.60
"An underneath, zone receiver, Hurns emerged as the Hurricanes' top go-to receiver as a senior. Runs a lot of simple, stationary, short-to-intermediate routes and could have a more difficult time shaking NFL cornerbacks.",5.60
"Developmental 3-4 rush-linebacker prospect with the pedigree and sack production to warrant interest. However, Jeffcoat will need to get stronger and improve vs. the run to ever become more than a backup.",5.60
NA,NA
"Long-limbed, rangy strong-side linebacker with intriguing dimensions to be deployed as a 3-4 rush outside linebacker. Developmental project with some upside to be groomed.",5.60
NA,NA
Developmental H-back with the raw tools to excite a TEs coach. Many of his flaws are correctable and could blossom with continued refinement.,5.60
"A well-put-together standup linebacker with NFL bloodlines, Kennard's intangibles outdistance his physical traits, as he lacks the juice to consistently heat up the edge in the pros.",5.60
"Thick-bodied, long-armed, powerful 3-4 nose tackle with scheme versatility to factor in a rotation for an even or odd front. Uses a lot of finesse and would be best utilized in a defense where he is allowed to slant, stunt and shoot gaps. Has moldable tools to develop.",5.60
"Physical, aggressive strong safety at his best playing downhill and filling in run defense, though you wish he had more juice athletically. Special teams will have to be his ticket.",5.60
"Strong-bodied, heavy-handed, short-area mauler who anchored one of the nation’s most physical, productive rushing attacks. Has athletic limitations, but compensates with strength, smarts and competitiveness. Has the makeup to overachieve, and could increase his value by proving versatile enough to back up at guard.",5.60
"A run-and-chase, strong-side linebacker with speed that could easily be utilized on the weak side or allow him to develop as a nickel-cover linebacker. Does not possess ideal toughness or instincts for special teams. Canadian-born prospect could be most highly coveted by the CFL.",5.60
"A strong, physical ORG prospect with enough grit, toughness and movement skill to compete for a job. Superhuman strength will attract the interest of NFL offensive line coaches.",5.60
NA,NA
"A tough, instinctive, crafty slot receiver with very reliable hands. Has benefited from a high-octane, dink-and-dunk spread passing game featuring a lot of quick-hitting routes. Must prove he can stay healthy and create separation vs. better competition to carve a niche.",5.60
"A lean, long-limbed, rare-sized, possession receiver, Lucas lacks starter-quality positional traits and does not play big, yet, with continued development, offers intrigue to teams as a developmental H-back.",5.60
"Big, competitive, inconsistent tight end lacking special traits for the NFL game. Will have to dedicate himself as a blocker to have a chance to stick as a No. 3.",5.60
"Compactly built, quicker-than-fast short stepper whose size limits his role, but Malena has the agility, elusiveness, hands and competitiveness to make someone's decision to cut him a difficult one, especially given his special-teams utility. Will interview well, be an asset in the facility and challenge for a complementary/third-down role.",5.60
"Hardworking former walk-on has shown improvement every season and has the leg strength, focus and precision to become a field-flipping weapon in the pros.",5.60
"Thick, stout, overaged defensive lineman with functional strength, awareness and competitiveness to provide depth and effective run defense. Is scheme-versatile, having played tackle and end in a hybrid front, and could be used as a 4-3 tackle or 3-4 five-technique. Good soldier.",5.60
"Short, compactly built, athletic cornerback who was playing well when he suffered a season-ending shoulder injury in September. Has the speed, quickness, competitiveness and toughness to compete for a role as a sub-package slot defender.",5.60
"An athletic, long-armed run-around 'backer who was slowed by a kidney injury as a senior, Merrill possesses desirable length and athletic ability to factor readily on special teams and develop into a contributor with continued physical development and strength.",5.60
NA,NA
"A  high-motor disruptor who plays faster than his timed speed and has the toughness, football smarts and leadership traits to earn a job in the pros. Could be best as a 3-4 outside linebacker for an aggressive, zone-blitzing team such as the Ravens or Steelers.",5.60
NA,NA
"A versatile jack-of-all-trades, Milllard brings the most value as a core special-teams contributor. Is best suited for a role as a fullback in a matchup-based offense where he could fill a variety of roles. Has been very reliable and durable throughout his career, but late October ACL injury could still require some rehabilitation as a rookie and could affect his draft standing.",5.60
"A nifty, instinctive zone runner who made his senior season his best and showed very well at his pro day workout, adding nine pounds since the East-West Shrine game but still showing fluid movement skill.",5.60
NA,NA
A 4-3 open-side speed rusher ideally suited for an elephant end or 3-4 Jack linebacker role. Is at his best rushing the passer and has shown improved maturity since departing Ohio State before the 2011 season.,5.60
Big-bodied brawler who does not look pretty but consistently finds a way to get the job done in confined quarters and has the makeup of a sixth offensive lineman. Versatility could allow to be drafted late and eventually work his way into a starting lineup with continued development.,5.60
NA,NA
"Quicker-than-fast possession receiver with trusted hands a quarterback cherishes in critical situations. Could develop into a reliable, third-down option route runner. Is best with free releases in the slot.",5.60
Raw prep hoopster who only played one year of high school football and entered the program as a defensive tackle. College left tackle with intriguing foot quickness and length to be groomed in a zone-blocking scheme. Developmental project.,5.60
NA,NA
"Undersized, competitive, change-of-pace back who was bothered by an ankle injury as a senior, but offers enough of a balanced skill set, including good acceleration, to be a better pro than college player. Evaluators would benefit to revisit junior tape for best indication of his ability.",5.60
"Good-sized, smooth, patient, controlled corner who played through a broken ring finger as a senior and is coming off October ACL surgery that could still be restricting upon his arrival in the NFL.",5.60
"Thin, underdeveloped, confident, field-fast receiver with soft hands. Was a playmaker in a prolific spread offense. Will have to be a slot receiver given his dependence on a free release, but does not have an ideal skill set to work inside and could require patience.",5.60
"Renner waited his turn behind Texans 2011 fifth-round pick T.J. Yates, but did not show drastic improvement over the course of his career, which ended with season-ending left (non-throwing) shoulder surgery in early November. Renner, whose arm strength limits his ceiling, lacks exceptional physical traits and will have to compete for a job as a pocket-passing, short-to-intermediate clipboard holder.",5.60
"Big, assignment-sound, Cover-2 safety with enough tackling skill, range and ball skills to crack a depleted starting lineup. However, he lacks prototypical athletic ability and physicality, and would be more ideally suited as a backup. Is a candidate to be overdrafted on interception production.",5.60
"Brazilian-born, right-footed, 3-by-2, soccer-style kicker captured the Lou Groza award after converting all 21 field goals as a junior and has gradually improved his leg strength.",5.60
"Big, inconsistent pocket passer who took a circuitous route to Pittsburgh, where he played a full season for the first time since 2009. Is inconsistent and in need of more reps, but has ample arm talent to warrant developmental consideration if teams deem his intangibles worthy of an investment.",5.60
Possesses rare speed and leaping ability to factor immediately in the return game and bring additional value as a slot receiver. Unique athletic traits could allow to overcome lack of size.,5.60
NA,NA
"Athletic, competitive, rough-around-the-edges backyard quarterback who left school a year early and did not garner a combine invite. His mechanics will never be used as clinic tape (oftentimes was under duress, causing his footwork and fundamentals to deteriorate), and he would benefit from time on the practice squad, but Smith does have enough talent and moxie to warrant developmental consideration as a potential backup down the road.",5.60
NA,NA
NA,NA
"Productive, dependable, fairly polished possession receiver with natural receiving skills. Lacks ideal size and horsepower to thrive outside, but his sure hands give him a chance to compete for a role as a chain-moving, short-to-intermediate slot receiver.",5.60
A college inside 'backer who projects best to the weak side in the pros. Has the leadership qualities and mental toughness to make a mark on special teams and earn his way into a lineup.,5.60
NA,NA
"Small-framed, quicker-than-fast slot receiver and punt returner. Is not uniquely electric, and will have to get his foot in the door on special teams. Stewart, who has a son, would have benefited from another year of college development, but is the type you root for, having persevered through tragedy and adversity.",5.60
"Stiff-legged, underpowered, bump-and-steer zone blocker who will struggle to match up against the size and power of NFL defensive tackles. Best chance to stick will be as a swing interior backup in a slide-protection scheme. Left-hander who snaps right-handed and gun-snaps left-handed.",5.60
"Good-sized, bump-and-steer blocker ideally suited for a zone-blocking, slide-protection scheme. Smart, tough technician capable of serving as an interior swing backup and could eventually fend for a starting job as a pivot. Will be best developed by a patient, respectful position coach.",5.60
"A coach’s son, Sunseri has requisite athletic ability for the pro game, but his head for the game rates among his best traits. Has the size, tackling ability and dependability to make a living as a backup and core special-teams player. Draft stock could be impacted by 2013 season-ending torn ACL.",5.60
"A tough, downhill box safety who plays bigger than his size. Hip inflexibility could relegate him to a situational nickel-safety role initially, yet possesses the toughness, competitiveness and football temperament to earn his way onto the field.",5.60
"A tough, determined, competitive overachiever capable of earning a job as a backup linebacker and special-teams performer.",5.60
"Turner is a squarely built interior blocker built for road grading, though he has not demonstrated the ability to dominate as a third-year sophomore draft entrant. Could obviously have used another year of college experience, but has size and run-blocking potential in a power-running scheme.",5.60
NA,NA
"Big, long-levered, Division II prospect with intriguing dimensions, strength and upside to warrant consideration as a developmental five-technique or perhaps three-technique. Is fairly raw and still growing into his body, but should only get stronger and more effective as he fills out his frame and makes technical strides.",5.60
NA,NA
"A big-bodied, interior blocker with intriguing physical dimensions to move defenders off the ball and make his presence felt in the run game. Is best in tight quarters and could be stressed by quickness in pass pro.",5.60
NA,NA
"Wiry, active, aggressive strong safety at his best playing downhill and reacting to plays in front him. Lacks starter-caliber size, instincts, range and cover skills, but could serve as a backup and special-teams contributor.",5.60
"Good-sized, press-man corner with developing instincts and enough cover skill to warrant a chance to develop.",5.60
"A finesse, run-and-hit, coverage linebacker with the athletic traits and raw speed worth developing on the weak side where he can be covered up in a fast-flowing, one-gap defense such as Dallas, Seattle or Tampa Bay. Could factor on special teams coverage readily.",5.60
NA,NA
Efficient college left tackle lacking ideal length and foot quickness to handle edge speed. Is most ideally suited for the inside where he could benefit from working in a phone booth with help on each side of him.,5.60
"Decorated FCS zone corner whose ball skills have to carry him, as he lacks ideal flexibility, twitch and top-end speed for the position. Practice-squad candidate.",5.60
"Tough, dedicated, mature, self-made overachiever who was not heavily deployed at a position that has become a dying breed, but made an impact when he was on the field and plays with the fearless abandon of a classic wedge-buster. The type of player fans root for, Williams could make a living as a core special teams contributor and example leader.",5.60
NA,NA
"A converted safety, Abram contributed primarily on special teams prior to his senior season when he was an overlooked role player for a national champion FSU squad boasting an exceptionally talented roster. Is a young fullback, but has clear developmental upside given his intriguing athleticism and versatility.",5.50
NA,NA
"Try-hard, effort blocker with enough athletic ability and blocking strength to fend for a No. 3 ""Y"" role, where he could bring the most value as a move blocker.",5.50
"Compactly built, productive, monotone runner lacking exceptional traits to distinguish himself from other recyclable backs. Would have been better served returning to school, if for no other reason than to improve in pass protection. Workout numbers could dictate draft value.",5.50
Possesses the point-of-attack strength and football temperament to be a factor defending the run in a rotational role.,5.50
NA,NA
"Did not work out in the spring while still recovering from a broken ankle suffered against Wisconsin in Week 5 and would be best suited for a role as a nickel safety or short-area, zone cornerback.",5.50
NA,NA
"Undersized, slippery, competitive inside receiver who brings a possession element to the slot. Lacks ideal explosiveness and will have to prove himself on special teams to earn an extended look.",5.50
Productive college linebacker lacking special traits for the pro game. Showed gradual improvement and will have to make his mark on special teams to survive.,5.50
"Looks the part with desirable length and musculature to warrant consideration as a developmental five-technique in a one-gapping 3-4 scheme or base end in a 4-3 front, though he will have to make significant strides with his technique and improve his run defense to be more than just a guy.",5.50
"Tough, overachieving, monotone zone runner who generally gets what is blocked for him and has a ceiling as a No. 3 back.",5.50
"A big, strong inside receiver best with simplified assignments, Coles possesses the enough size to post up linebackers and  mismatch defensive backs. History of knee injuries will eliminate from consideration for some teams and could affect draft standing.",5.50
NA,NA
"Built like a cornerback, Cook played ""bandit"" and ""boundary"" safety in the Mountaineers' 3-3-5 scheme. While he does not boast an exceptional trait, he also does not have glaring weaknesses. His athleticism and tackling make him a scheme-versatile, hybrid-type safety capable of latching on as a reserve if he proves effective on special teams.",5.50
NA,NA
A one-cut zone runner lacking ideal balance and competitiveness desired on the front lines and the temperament for special teams. More of a workout warrior than football player at this stage of his development and will be challenged to produce against better competition.,5.50
An adequate-sized back with the run instincts and perimeter running skills to compete for a job in a situational role if he learns to commit himself to the process and figures out what it means to be a pro.,5.50
"An underdeveloped edge rusher with raw, physical traits to mold, Denmark has immense upside if the light bulb ever comes on. A better tester than football player who needs a strong veteran locker room to hold him accountable.",5.50
NA,NA
"A big fish in a small pond, Duncan stands out against lesser competition and could have made a statement in postseason all-star competition to solidify his draft standing. However, he broke his foot training for the Senior Bowl and only showed to interview. Age and injury history can diminish his value, but he possesses the intelligence, leadership traits and versatility desired at the bottom of a roster. Long-snapping ability could be his ticket.",5.50
"A soft-spoken, thickly built, long-armed FCS prospect, Edwards is a raw base blocker who must make significant strides with his technique, ratchet up his play-to-play intensity and learn to play with power. Practice-squad candidate.",5.50
NA,NA
"Skinny, finesse ""X"" receiver and flash player with a basketball background and big-time springs. However, he is raw, does not play to his timed speed and lacks requisite physicality and toughness. Could be a practice squad candidate.",5.50
NA,NA
"Big, talented, underachieving flanker who showed signs of life as a senior after injuries and inconsistency plagued his previous seasons. Is still rough around the edges and questionable hands and passion for the game could prevent him from reaching his ceiling.",5.50
"Stocky, strong slot receiver with more of a running back's build, Gallon possesses the hands, zone awareness and toughness to fend for a job in the pros. Lacks the top-end speed desired as a kick returner, but shows enough burst to warrant an opportunity fielding punts.",5.50
"A try-hard, overachieving, base end with desirable toughness, work habits and effort to earn a backup job. Served as an undersized five-technique in college and has the lumbering, heavy movement skill of an interior player. Has a frame that looks nearly maxed and would be most ideally suited as a run-stuffing, left defensive end in a ""40"" front.",5.50
NA,NA
"A highly-touted prep recruit who struggled to secure a starting job at Texas after cycling through three offenses in three years. Graduated early and transferred to SMU, where he settled down in a simplified system under the guidance of June Jones. Could fend for a job in a West Coast offense.",5.50
NA,NA
"A try-hard, developmental blocker capable of catching on as a No. 3 tight end with continued improvement in the weight room. Possesses above-average base blocking ability, hands and foot speed to carve a role.",5.50
"An injury prone hoopster-turned-cornerback, Goodson is a height-weight-speed prospect who shows in flashes when he’s able to rely on his reactionary skills and natural athleticism to break up throws. However, he is overaged and relatively raw. He must distinguish himself at the combine to elevate his stock. Will get an extended look thanks to the increased demand for bigger corners.",5.50
"Tall, experienced right-tackle-only project who does not ""wow"" athletically or technically and could be destined for a practice squad.",5.50
"Fast, linear, one-cut, perimeter slasher best-suited for a zone scheme. Never established himself as a feature back, though his speed and special-teams ability will give him a chance to compete for a roster spot.",5.50
NA,NA
"A speedy, perimeter runner who looked like the second coming of Thomas Jones upon his arrival in college, possessing a shredded physique and trademark quickness. Injuries and an inconsistent down-to-down competitive effort forced him to see more rotational action and regressed his career.",5.50
NA,NA
"Harris, who began his college career at Wisconsin, is a short, long-armed, inconsistent defensive lineman who, at his best, offers glimpses of athleticism, strength and versatility. However, his 'tweener traits and character red flags could knock him off draft boards and prevent him from fulfilling his potential. At his pro days, weighed in approximately 30 pounds heavier than his playing weight in 2012.",5.50
NA,NA
"Intelligent, jack of all trades, master of none whose skill set falls somewhere between a tight end and fullback. Will go as far as his versatility, blocking, hands and special-teams utility carry him.",5.50
"A big, outside-the-numbers possession receiver with good length and hand-eye coordination to fend for a roster spot as a No. 4 or No. 5 receiver.",5.50
"Strrong, straight-line, stiff-legged, short-area power blocker capable of functioning in a man-based protection scheme, but is the type of athlete teams are always looking to upgrade. Overall body stiffness will be exposed more vs. NFL penetrators.",5.50
NA,NA
"A right-footed, two-step, strong-legged Aussie punter who is still learning how to apply his craft, Hornsey showed consistent improvement throughout his career and made his senior season his best. Has upside to earn a job.",5.50
"A one-cut, zone runner with untapped explosiveness in his body, Houston has split time in a rotation and never emerged as a workhorse back. Is at his best working the perimeter on outside stretch-zone runs and is sure-handed enough to contribute in the receiving game. Will have to make his presence felt on special teams.",5.50
NA,NA
"An LSU transfer, Jacobs is a monotone, inline-blocking “Y” tight end lacking exceptional athletic traits for the pro game. Will have to excel as a blocker to stick as a No. 3.",5.50
"Smallish, darting, change-of-pace zone runner who will have to carve a niche as a third-down back. With a son to support and the memory of a gruesomely severe knee injury in 2011 (torn ACL, MCL, meniscus and patellar tendon), left school early despite tepid draft projections. Is the type you root for, but will have to prove his chops as a receiver and pass protector to stick.",5.50
"Tightly wound, inconsistent, two-down Mike linebacker who projects as a backup inside in a 3-4, though he will have to prove his worth on special teams to last.",5.50
"A highly touted recruit who began his college career at Florida, Leonard is an athletic, one-dimensional, ""move"" tight end with good hands and run-after-catch ability. Will have to convince decision-makers of his trustworthiness, and will go as far as his receiving ability takes him.",5.50
"A tough, competitive, hardworking spread-option college quarterback, Lynch threatens opponents more with his legs than his arm and will require time to adapt to an NFL-style, progression-read offense if he is to remain under center in the pros. Could contend for a job as a No. 3 quarterback if he learns to refine his passing instincts. Developmental project who may bring the most value as a practice-squad, read-option quarterback. Toughness and competitiveness could translate to the fullback or box safety positions.",5.50
"Strong, disruptive Division II standout who could require some time to acclimate to the speed and complexity of the NFL game. Strength, toughness and leadership traits could allow to develop into a solid, contributing role player in an unsung plugger role. Projects most ideally as a five-technique in a three-man front.",5.50
"Thick-bodied, well built ORG prospect with natural girth and a gritty football-playing demeanor that could carry him on a roster for considerable time and allow him to earn a job in a man-based, power-blocking scheme. Size, toughness and feisty temperament could serve well in a phone booth and earn the respect of the mushroom club (the NFL's offensive line coaches).",5.50
NA,NA
"A disciplined, football-smart, 4-3 Mike linebacker with the toughness, discipline and determination desired in a core special-teams player. Athletic limitations could force him to earn his way as a backup.",5.50
"A converted defensive lineman and former walk-on, Paradis is a stoutly built, intelligent, hard-nosed overachiever who will make it difficult for coaches to cut him.",5.50
"Three-by-two, soccer-style kicker with enough leg strength to warrant a chance in a camp, though he must prove he can more consistently handle kicking accurately from greater depths to earn a job.",5.50
A massive run-stuffing space-occupier with the bulk to plug the middle or function outside in a traditional 3-4 front. His calling card will be defending the run on early downs.,5.50
"Raw, lean man cover corner with the quickness and explosive burst to warrant a look as a No. 4 or No. 5 cornerback. Was regularly assigned to the opponent's top receiver and did not have as many opportunities the last two seasons, when his interception production diminished.",5.50
NA,NA
"A sixth-year senior, Ramsey has the physical tools to serve in a rotational role as an aggressive five-technique or 4-3 left end, though his injury history and long-term durability concerns limit his value and could scare teams off.",5.50
"A one-cut, inside zone runner, Redd is a solid, all-around performer with a No. 2 skill set. Can pick up yardage in chunks and would most ideally be suited for a ground game such as the Seahawks, Eagles or Packers.",5.50
"Lacks prototype measurements and arm talent and played in a high-percentage, dink-and-dunk passing game that has not translated well to the pros, yet possesses the intangibles, toughness, football intelligence and escapability to warrant developing. Is the type of player you root for and has make-it qualities that could eventually surprise. Potentially adds situational value.",5.50
"Good-sized, downhill, monotone runner who left school with a year of eligibility remaining despite lacking exceptional athletic traits. Will have to earn his keep as an inside runner, though he faces an uphill battle to earn a spot as a reserve.",5.50
"A smart, quietly competitive, nondescript, interchangeable safety with a cautious playing temperament. Benefited from playing alongside standout Calvin Pryor in a defense that did not require as much back-end responsibility.",5.50
"More smart than instinctive, classic overachiever with enough size, straight-line speed and intelligence to function as a backup and special teams performer. Shows enough range to survive on the back end and toughness to interchange in the box. Can make a living on special teams.",5.50
"A big, small-school producer with a solid all-around skill set to compete for a job as a role player in a zone scheme. Will need to contribute on special teams to earn a spot.",5.50
"Has the size, brute strength and enough agility to warrant interest as a developmental, rotational five-technique in an aggressize, zone-blitzing scheme such as the Jets, Ravens or Steelers. Versatility is a plus.",5.50
"Good-sized defensive lineman who shows in flashes, but not enough to justify leaving school early, as he looked very average against strong offensive lines. Could warrant late-round consideration as a developmental base end.",5.50
"Heavy-bodied, dink-and-dunk, rhythm passer who could be challenged to fit the ball into tight NFL windows. Has the makeup desired in a No. 3 QB and could develop into a functional backup in a West Coast passing game.",5.50
"Similar to former Longhorns DT Henry Melton, Whaley is a converted running back who outgrew the position and flipped to the other side of the ball. Whaley is still very raw and inexperienced and will require patience to develop. Is coming off season-ending knee surgery and could take additional time to be ready. Developmental project with intriguing upside.",5.50
"A distant cousin of Santana and Sinorice Moss, White had a very productive career despite splitting carries for four years, and offers a balanced enough skill set to factor as a recyclable, complementary, change-of-pace back in the pros.",5.50
Split time in a three-man backfield until being dismissed from the team for his multiple violations of team rules. Must prove he can stay disciplined and learn what it means to be a pro to make it. Is best running outside in a spread offense that features wide running lanes and could bring the most value to a team as a pass catcher in a change-of-pace role.,5.50
"Highly productive, stocky, Division II standout whose best chance will come proving he could make it on special teams.",5.50
NA,NA
NA,NA
Emerged on the season as a freshman at Maryland before being relegated to the bench and transferring to Portland State. Followed a standout senior season by earning  MVP distinction in the Medal of Honor all-star game for his former Terps coach Ralph Friedgen. Possesses the run size and run instincts to compete for a complementary role.,5.40
NA,NA
"Big, physical, athletic, converted linebacker who will have to carve a niche as a box defender and special-teams contributor to hold down a roster spot as a reserve safety. Size and aggressiveness will earn him a look in a league increasingly desirous of such traits in the secondary.",5.40
"A big, strong, light-footed interior player who is best working angles with simple assignments. Has a chance to earn a spot if he can cut down on mental mistakes, learn to play with more consistent knee bend and handle penetrators lined over the top of him.",5.40
NA,NA
"A high school safety, Boyd had a breakout senior season, but his stats are more intriguing than his tape, which reveals an unpolished, albeit athletic, linebacker who needs to play with better strength, discipline and urgency to last. Best chance will be on the weak side in a fast-flowing 4-3 that keeps him clean and free to chase.",5.40
"A strong, undersized, movement nose tackle most ideally suited to play the run. Has enough size and strength to warrant an opportunity in a camp as a two-down plugger.",5.40
NA,NA
"Lean, fluid, speedy Division II standout with a playmaker's resume. Will have to overcome size and strength limitations, but his burst and hands give him the opportunity to earn a role as a slot receiver and return man.",5.40
"Adequate-sized, monotone, fairly nondescript receiver lacking exceptional athletic traits for the pro game and will need to prove himself in the return game to stick.",5.40
"Straight-line mauler who functions in the run game when a defender is lined over the top of him, but will struggle vs. any quick movement and needs to be in a phone booth to survive. Has been a mainstay at right guard and could increase his value as a swing interior backup if he proves he can handle the pivot.",5.40
"Developmental, top-heavy Division II blocker who has warranted some interest as a center prospect. Possesses the work habits and competitiveness to maximize his potential, but will require some time to get acclimated to the speed and physicality of the NFL game.",5.40
"Hard-hitting, playmaking Division II rover safety who projects to the weak side linebacker position in the pros. Stood out in the Medal of Honor all-star game, when he earned MVP distinction and showed up heavily around the ball. Has developmental linebacker potential.",5.40
NA,NA
"A Tongan-American, Halapio is a hulking short-area guard whose best traits are intangible. Is most effective in a phone booth, but too often looks like he requires max effort to provide adequate blocking. Best chance to stick will be in a slide-protection scheme.",5.40
"An active, undersized, run-and-hit weakside linebacker, Hitchens is at his best in a scheme where he is protected and free to run to the ball. Has shown gradual improvement and could stand to compete for a backup role.",5.40
"Undersized, thickly built, active defensive lineman with tweener traits. Lacks ideal explosiveness and flexibility, but his hand use, competitiveness and motor could enable him to fight for a spot as a rotational three- or five-technique.",5.40
"Lean, athletic, finesse free safety with the chops to hold down a backup job in a system where he could react to plays in front of him, though he will have to demonstrate utility on special teams.",5.40
"Big, strong-legged, powerful punter capable of booming the ball with good hang, distance and accuracy. Has the tools to earn a starting job and serve as an emergency kickoff specialist.",5.40
"A junior-college product, Mims was an undersized college rush end, though he recorded just 3.5 sacks in 21 games at USF and is actually at his best during the latter portion of the play when he kicks into pursuit mode. Best chance will come as developmental, situational 4-3 right end or stand-up rush linebacker, though he must turn up the heat more consistently to stick.",5.40
"Outstanding-sized, right-footed, two-step punter transferred from Cincinnati upon graduation to be closer to home and hone his own technique. Has the leg strength to compete for a job, but must continue to hone his control and improve his directional punting.",5.40
"A Florida transfer, Patchan’s lone season at BC was the first of his career in which he was a healthy, full-time starter. He’s a tall, stiff, linear, zone blocker whose relatively short wingspan dictates a shift to guard, though he isn’t ideally suited for the interior given his core strength deficiency and wobbly base. Practice-squad candidate who must dedicate himself to the weight room and the practice field and tap into the raw ability that made him a highly sought after recruit in order to have longevity.",5.40
"Fast, linear, one-cut, perimeter slasher best-suited for a zone scheme. Never established himself as a feature back, though his speed and special-teams ability will give him a chance to compete for a roster spot.",5.40
